duration,event,EAD,PD_30d,PD_90d,PD_180d,PD_365d,EL_30d,EL_90d,EL_180d,EL_365d,PD_30d_after,PD_90d_after,PD_180d_after,PD_365d_after,EL_30d_after,EL_90d_after,EL_180d_after,EL_365d_after
365.0,0,347500000.0,0.0,0.0,1.9034673964468674e-05,0.000615702130373541,0.0,0.0,3307.274601326432,106978.24515240276,0.0,0.0,1.9034673964468674e-05,0.000615702130373541,0.0,0.0,3307.274601326432,106978.24515240276
1096.0,0,10480000.0,0.0,0.0,4.351486736497989e-05,0.0014070068744554964,0.0,0.0,228.01790499249464,7372.716022146801,0.0,0.0,4.351486736497989e-05,0.0014070068744554964,0.0,0.0,228.01790499249464,7372.716022146801
1096.0,0,49352845.0,0.0,0.0,1.872995802454369e-05,0.0006058485775531919,0.0,0.0,462.1883576209055,14950.175470726579,0.0,0.0,1.872995802454369e-05,0.0006058485775531919,0.0,0.0,462.1883576209055,14950.175470726579
731.0,0,7902714.0,0.0,0.0,1.8051958882381314e-05,0.0005839238850141593,0.0,0.0,71.32973409360957,2307.2917305178935,0.0,0.0,1.8051958882381314e-05,0.0005839238850141593,0.0,0.0,71.32973409360957,2307.2917305178935
1096.0,0,1.0,0.0,0.0,2.195252834336081e-05,0.0007100515748643677,0.0,0.0,1.0976264171680405e-05,0.0003550257874321838,0.0,0.0,2.195252834336081e-05,0.0007100515748643677,0.0,0.0,1.0976264171680405e-05,0.0003550257874321838
366.0,0,500000000.0,0.0,0.0,4.9971517723568226e-05,0.001615612267145905,0.0,0.0,12492.879430892057,403903.06678647624,0.0,0.0,4.9971517723568226e-05,0.001615612267145905,0.0,0.0,12492.879430892057,403903.06678647624
365.0,0,12300032.0,0.0,0.0,1.7370745764466733e-05,0.0005618947915970729,0.0,0.0,106.83036438340264,3455.6619586386637,0.0,0.0,1.7370745764466733e-05,0.0005618947915970729,0.0,0.0,106.83036438340264,3455.6619586386637
365.0,0,90000000.0,0.0,0.0,1.811346927926838e-05,0.0005859129871979007,0.0,0.0,815.106117567077,26366.084423905533,0.0,0.0,1.811346927926838e-05,0.0005859129871979007,0.0,0.0,815.106117567077,26366.084423905533
1096.0,0,47528515.0,0.0,0.0,1.860789557839304e-05,0.0006019014364553321,0.0,0.0,442.20282205804364,14303.7407255444,0.0,0.0,1.860789557839304e-05,0.0006019014364553321,0.0,0.0,442.20282205804364,14303.7407255444
184.0,0,160000000.0,0.0,0.0,1.948974923748903e-05,0.0006304176546985119,0.0,0.0,1559.1799389991224,50433.41237588095,0.0,0.0,1.948974923748903e-05,0.0006304176546985119,0.0,0.0,1559.1799389991224,50433.41237588095
