duration,event,EAD,PD_30d,PD_90d,PD_180d,PD_365d,EL_30d,EL_90d,EL_180d,EL_365d
3652.0,0,149000000.0,0.0,0.0,1.4842707209639094e-05,0.00048006432771008356,0.0,0.0,1105.7816871181126,35764.79241440123
1096.0,0,7833606.0,0.0,0.0,2.6249261821598147e-05,0.0008488398580973611,0.0,0.0,102.81318745062109,3324.738502715318
2191.0,0,9126781.0,0.0,0.0,2.7730183922436424e-05,0.0008967086081420605,0.0,0.0,126.54365787489911,4092.0315436637015
180.0,0,100000000.0,0.0,0.0,1.9531957719420845e-05,0.0006316844265428223,0.0,0.0,976.5978859710423,31584.221327141116
1826.0,0,237520000.0,0.0,0.0,1.6208763561009754e-05,0.0005242360750706831,0.0,0.0,1924.9527605055184,62258.27627539433
1096.0,0,5012733.0,0.0,0.0,1.9573558690644255e-05,0.000633029433722565,0.0,0.0,49.05851178801463,1586.6037661962073
10957.0,0,302880160.0,0.0,0.0,1.843673350343522e-05,0.0005962739386436988,0.0,0.0,2792.06039669891,90299.77297011684
1096.0,0,104781860.0,0.0,0.0,2.0192706970734164e-05,0.0006530470014278755,0.0,0.0,1057.9146974142457,34213.739738517725
1096.0,0,3061743.0,0.0,0.0,1.9436966809172063e-05,0.0006286132547304035,0.0,0.0,29.75549853460745,962.3261161890149
1096.0,0,3.0,0.0,0.0,2.023036386000765e-05,0.0006542644667660857,0.0,0.0,3.0345545790011474e-05,0.0009813967001491286
365.0,0,105000000.0,0.0,0.0,1.8984687878864648e-05,0.0006139904006763341,0.0,0.0,996.6961136403941,32234.496035507542
1095.0,0,190000000.0,0.0,0.0,1.667928704651711e-05,0.0005394501225371995,0.0,0.0,1584.5322694191254,51247.761641033954
366.0,0,40000000.0,0.0,0.0,1.929300798308997e-05,0.0006239588731364876,0.0,0.0,385.86015966179946,12479.177462729751
366.0,0,120000000.0,0.0,0.0,1.9022991031403258e-05,0.0006152288069041223,0.0,0.0,1141.3794618841955,36913.728414247336
365.0,0,700000000.0,0.0,0.0,3.777602619525755e-05,0.0012213678391626015,0.0,0.0,13221.609168340143,427478.7437069105
1096.0,0,3716636.0,0.0,0.0,1.974779403524085e-05,0.0006386626434798925,0.0,0.0,36.69768111598071,1186.838286306267
1827.0,0,205000000.0,0.0,0.0,1.685817578134241e-05,0.0005452343056442377,0.0,0.0,1727.963017587597,55886.516328534366
1096.0,0,10033902.0,0.0,0.0,1.9694634090239305e-05,0.0006369439304775293,0.0,0.0,98.80701419366017,3195.516488953171
366.0,0,2000000000.0,0.0,0.0,1.9757977492762535e-05,0.0006389918842930609,0.0,0.0,19757.977492762537,638991.8842930609
731.0,0,130800000.0,0.0,0.0,1.7949292129393335e-05,0.0005805137273047212,0.0,0.0,1173.8837052623242,37965.597765728766
2191.0,0,51230584.0,0.0,0.0,1.948239629423476e-05,0.0006300820464496537,0.0,0.0,499.0472699365413,16139.735603765443
1096.0,0,13966819.0,0.0,0.0,1.9524848689278507e-05,0.0006314545832581953,0.0,0.0,136.35001382277008,4409.705935543821
1096.0,0,15000000.0,0.0,0.0,3.7515482602112904e-05,0.001212948942505232,0.0,0.0,281.3661195158468,9097.11706878924
1096.0,0,11313965.0,0.0,0.0,1.934076959608788e-05,0.0006255030723599786,0.0,0.0,109.41039514160121,3538.4599340366326
366.0,0,300000000.0,0.0,0.0,2.0281867221694228e-05,0.0006559295928859621,0.0,0.0,3042.2800832541343,98389.4389328943
10957.0,0,611880740.0,0.0,0.0,1.8104072122770987e-05,0.0005855181817013833,0.0,0.0,5538.766523747241,179133.64915144842
1095.0,0,9265391.0,0.0,0.0,1.9747661231361846e-05,0.0006386583498040332,0.0,0.0,91.48490132205448,2958.709663174571
7305.0,0,900800000.0,0.0,0.0,1.4702307446934348e-05,0.00047552436177722424,0.0,0.0,6621.91927409923,214176.1725444618
