PD_30d,PD_90d,PD_180d,PD_365d,PD_30d_refit,PD_90d_refit,PD_180d_refit,PD_365d_refit,EAD
0.0,0.0,1.874089409414914e-05,0.0006061080970926058,0.0,0.0,1.2865856013233312e-05,0.00042285774683437083,7902714.0
0.0,0.0,2.2944464010077326e-05,0.0007420088446593587,0.0,0.0,1.6491286219721957e-05,0.0005419822246088835,1.0
0.0,0.0,3.8580474141292065e-05,0.001247361382027412,0.0,0.0,3.50554057773067e-05,0.0011517468721817803,500000000.0
0.0,0.0,1.8073798367379545e-05,0.0005845393514967157,0.0,0.0,1.1869754212190387e-05,0.00039012539783422895,12300032.0
0.0,0.0,1.887073528861194e-05,0.0006103061103492902,0.0,0.0,1.2766173913325574e-05,0.0004195821954119383,90000000.0
0.0,0.0,1.934257635050063e-05,0.0006255614871925053,0.0,0.0,1.3097193177213917e-05,0.000430459440412867,47528515.0
0.0,0.0,2.0315532653247814e-05,0.0006570180095007983,0.0,0.0,1.611525177203088e-05,0.0005296271150181386,160000000.0
0.0,0.0,2.0903340181011032e-05,0.0006760218724414235,0.0,0.0,1.4345455000452922e-05,0.00047147611052089644,180000000.0
0.0,0.0,2.041911461170276e-05,0.000660366847669347,0.0,0.0,1.4182212119573379e-05,0.0004661122008913221,1300000000.0
0.0,0.0,1.8726754565268067e-05,0.0006056509381462405,0.0,0.0,1.2671703214284236e-05,0.0004164778808921632,300000000.0
0.0,0.0,1.580924484378965e-05,0.0005113177408859748,0.0,0.0,9.982537212405163e-06,0.0003281077566449353,56800000.0
0.0,0.0,1.920450665904294e-05,0.0006210974964061533,0.0,0.0,1.3046201849942207e-05,0.0004287838802726762,52000000.0
0.0,0.0,1.9253921938244822e-05,0.0006226951653448554,0.0,0.0,1.3066051202992313e-05,0.0004294361245485989,13999999.0
0.0,0.0,1.7251413612751065e-05,0.0005579491321272556,0.0,0.0,1.0527468525922679e-05,0.0003460156483293675,14000000.0
0.0,0.0,1.9165596870429624e-05,0.000619839483747886,0.0,0.0,1.297776704967113e-05,0.0004265351284169494,150000000.0
0.0,0.0,1.9804316451876858e-05,0.0006404900653369516,0.0,0.0,1.3882580408686174e-05,0.00045626669175768964,700000000.0
0.0,0.0,1.8917385753658422e-05,0.0006118144046154406,0.0,0.0,1.2772199386112959e-05,0.00041978019260058286,26066107.0
0.0,0.0,1.940907261599456e-05,0.0006277113997600337,0.0,0.0,1.316399151130021e-05,0.0004326544100646812,38380282.0
0.0,0.0,1.9020208755549106e-05,0.0006151388512306566,0.0,0.0,1.2903881273396145e-05,0.0004241072532323864,260000000.0
0.0,0.0,1.879669780235904e-05,0.0006079123394183705,0.0,0.0,1.2737027733078499e-05,0.00041862445065843357,10048087.0
0.0,0.0,1.9018475542975644e-05,0.0006150828135402797,0.0,0.0,1.2908050535442861e-05,0.0004242442546905645,230000000.0
0.0,0.0,1.5757679942884906e-05,0.0005096503913857298,0.0,0.0,9.926526517656242e-06,0.0003262670786802202,250000000.0
0.0,0.0,1.6666373540918933e-05,0.000539032576369114,0.0,0.0,1.0768245925940612e-05,0.00035392813473333895,760000000.0
0.0,0.0,1.8820916603878857e-05,0.0006086953793533745,0.0,0.0,1.2841583372225074e-05,0.00042206014938706016,150000000.0
0.0,0.0,1.929064872574493e-05,0.0006238825950116711,0.0,0.0,1.313771871191971e-05,0.0004317910957182258,130000000.0
0.0,0.0,1.927346098806737e-05,0.0006233268909962009,0.0,0.0,1.3081214617405301e-05,0.0004299343898911401,10892168.0
0.0,0.0,1.915227376736439e-05,0.0006194087272023419,0.0,0.0,1.3010576893957015e-05,0.0004276132529920096,80000000.0
0.0,0.0,2.0881146035933718e-05,0.0006753043403731063,0.0,0.0,1.4521631104269517e-05,0.00047726495462008245,36414744.0
0.0,0.0,1.893279704046069e-05,0.0006123126790230637,0.0,0.0,1.278002607862927e-05,0.0004200373778545652,600000000.0
0.0,0.0,1.965477103649249e-05,0.0006356551170910718,0.0,0.0,1.3768795018020974e-05,0.00045252782686455717,500000000.0
0.0,0.0,2.07308204790424e-05,0.0006704443334122345,0.0,0.0,1.4204922427873967e-05,0.0004668584283153976,1200000000.0
0.0,0.0,1.5239701087521595e-05,0.000492901411369151,0.0,0.0,9.374722562349724e-06,0.0003081329843818148,508300000.0
0.0,0.0,1.9848219371176867e-05,0.0006419094849744456,0.0,0.0,1.361653382958572e-05,0.00044752466765285437,11312179.0
0.0,0.0,1.8943090285272746e-05,0.0006126454778651036,0.0,0.0,1.2794867369714247e-05,0.00042052506277012736,200000000.0
0.0,0.0,1.9648723964871273e-05,0.000635459608925637,0.0,0.0,1.344209696096943e-05,0.0004417928066372534,60000000.0
0.0,0.0,1.9745917888669418e-05,0.0006386019858761749,0.0,0.0,1.3586370052887098e-05,0.0004465335114833824,300000000.0
0.0,0.0,1.9652667701763882e-05,0.0006355871140780733,0.0,0.0,1.3391608574497837e-05,0.0004401337912336434,2791011.0
0.0,0.0,1.6046693504523368e-05,0.0005189956012990882,0.0,0.0,1.0133899701614268e-05,0.0003330819616420566,308700000.0
0.0,0.0,1.971535632661059e-05,0.0006376139009830473,0.0,0.0,1.3434544712476182e-05,0.0004415446448523541,6703660.0
0.0,0.0,1.4997435329400233e-05,0.00048506759217159523,0.0,0.0,9.214243330668559e-06,0.0003028590487261784,237000000.0
