found,reason,prob_orig,prob_final,changes,index,_error
False,already_good,4.574431059157678e-06,4.574431059157678e-06,{},88704,
False,already_good,4.574431059157678e-06,4.574431059157678e-06,{},41712,
False,already_good,4.550426371425848e-06,4.550426371425848e-06,{},60959,
False,already_good,4.614862159812388e-06,4.614862159812388e-06,{},54078,
False,already_good,4.574431059157678e-06,4.574431059157678e-06,{},60116,
False,already_good,4.614862159812388e-06,4.614862159812388e-06,{},51448,
False,,0.998735170253494,0.998735170253494,{},25783,
False,,0.9983432162971505,0.9983432162971505,{},8194,
False,already_good,4.587589702451971e-06,4.587589702451971e-06,{},73089,
False,already_good,3.311456596719286e-06,3.311456596719286e-06,{},4829,
False,already_good,4.710928491893497e-06,4.710928491893497e-06,{},2915,
False,already_good,4.628137105213406e-06,4.628137105213406e-06,{},63828,
False,already_good,4.537374323714299e-06,4.537374323714299e-06,{},30634,
False,already_good,4.724479776921583e-06,4.724479776921583e-06,{},50605,
False,already_good,4.91166750300573e-06,4.91166750300573e-06,{},66648,
False,already_good,4.614862159812388e-06,4.614862159812388e-06,{},38954,
False,,0.9669923628413901,0.9669923628413901,{},34739,
False,already_good,4.614862159812388e-06,4.614862159812388e-06,{},7761,
False,already_good,2.752405138163967e-05,2.752405138163967e-05,{},55740,
False,already_good,5.108128136170322e-06,5.108128136170322e-06,{},82370,
False,already_good,4.614862159812388e-06,4.614862159812388e-06,{},69650,
False,already_good,4.724479776921583e-06,4.724479776921583e-06,{},8653,
False,already_good,4.614862159812388e-06,4.614862159812388e-06,{},39804,
False,already_good,5.176094329364903e-06,5.176094329364903e-06,{},41445,
False,already_good,3.4253871533959173e-06,3.4253871533959173e-06,{},27271,
False,already_good,3.855043564588154e-05,3.855043564588154e-05,{},72563,
False,already_good,4.574431059157678e-06,4.574431059157678e-06,{},87868,
False,already_good,4.484386744194634e-06,4.484386744194634e-06,{},89254,
False,already_good,4.47578250126815e-06,4.47578250126815e-06,{},80212,
False,already_good,4.587589702451971e-06,4.587589702451971e-06,{},38800,
False,already_good,4.587589702451971e-06,4.587589702451971e-06,{},71771,
False,already_good,3.937990836833356e-06,3.937990836833356e-06,{},78774,
False,,0.9998962144195495,0.9998962144195495,{},510,
False,already_good,5.1925315155647405e-06,5.1925315155647405e-06,{},39434,
False,,0.9998298930472713,0.9998298930472713,{},13113,
False,already_good,4.574431059157678e-06,4.574431059157678e-06,{},73809,
False,already_good,4.574431059157678e-06,4.574431059157678e-06,{},9312,
False,already_good,4.574431059157678e-06,4.574431059157678e-06,{},28278,
False,already_good,4.614862159812388e-06,4.614862159812388e-06,{},42979,
False,,0.9898840672517074,0.9898840672517074,{},20077,
False,already_good,5.089182930105346e-06,5.089182930105346e-06,{},40741,
False,already_good,4.574431059157678e-06,4.574431059157678e-06,{},10994,
False,already_good,5.099269008865429e-06,5.099269008865429e-06,{},78651,
False,already_good,4.574431059157678e-06,4.574431059157678e-06,{},83746,
False,already_good,4.587589702451971e-06,4.587589702451971e-06,{},51216,
False,already_good,5.920513666760234e-06,5.920513666760234e-06,{},20085,
False,already_good,4.587589702451971e-06,4.587589702451971e-06,{},23404,
False,already_good,3.399714483654758e-06,3.399714483654758e-06,{},62521,
False,already_good,4.246784174939461e-06,4.246784174939461e-06,{},26634,
False,already_good,4.614862159812388e-06,4.614862159812388e-06,{},61921,
False,already_good,4.574431059157678e-06,4.574431059157678e-06,{},43225,
False,already_good,4.614862159812388e-06,4.614862159812388e-06,{},75969,
False,already_good,4.587589702451971e-06,4.587589702451971e-06,{},22283,
False,already_good,6.864148315141961e-06,6.864148315141961e-06,{},44891,
False,already_good,4.574431059157678e-06,4.574431059157678e-06,{},9833,
False,already_good,4.587589702451971e-06,4.587589702451971e-06,{},44153,
False,,0.9674114910951727,0.9674114910951727,{},89203,
False,already_good,5.099710276506769e-06,5.099710276506769e-06,{},52402,
False,already_good,5.446483562149471e-06,5.446483562149471e-06,{},19806,
False,already_good,4.201447567987647e-06,4.201447567987647e-06,{},33898,
False,already_good,4.574431059157678e-06,4.574431059157678e-06,{},25904,
False,already_good,4.574431059157678e-06,4.574431059157678e-06,{},90227,
False,already_good,4.628137105213406e-06,4.628137105213406e-06,{},69540,
False,already_good,4.574431059157678e-06,4.574431059157678e-06,{},15949,
False,already_good,4.628137105213406e-06,4.628137105213406e-06,{},10838,
False,already_good,4.628137105213406e-06,4.628137105213406e-06,{},66709,
False,already_good,4.574431059157678e-06,4.574431059157678e-06,{},24532,
False,already_good,4.614862159812388e-06,4.614862159812388e-06,{},65010,
False,already_good,5.679960407372274e-07,5.679960407372274e-07,{},80393,
False,already_good,4.537374323714299e-06,4.537374323714299e-06,{},77604,
False,already_good,4.628137105213406e-06,4.628137105213406e-06,{},90336,
